area_type,availability,location,size,society,total_sqft,bath,balcony,price
3,1.0,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0
3,0.0,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0
3,1.0,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06
2,1.0,Rajaji Nagar,6 Bedroom,,710,6.0,3.0,160.0
0,1.0,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0
3,0.0,Electronic City,2 BHK,,1000,2.0,1.0,28.88
3,1.0, Mysore Highway,3 BHK,,1450,2.0,2.0,70.0
2,1.0,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0
3,0.0,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0
3,1.0,Domlur,3 BHK,,1540,3.0,2.0,90.0
2,1.0,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0
3,1.0,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,48.0
0,1.0,Devasthanagalu,2 BHK,,1200,2.0,1.0,65.0
0,1.0,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0
3,1.0,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0
0,1.0,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0
2,1.0,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0
3,1.0,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0
3,1.0,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0
3,1.0,Peenya,2 BHK,,966,2.0,2.0,49.9
0,1.0,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0
0,1.0,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0
0,1.0,Jalahalli West,2 BHK,,782,2.0,2.0,55.68
3,0.0,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78
3,1.0,Lakshmiamma Garden,3 BHK,,1800,3.0,3.0,120.0
3,1.0,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0
3,1.0,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91
3,1.0,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9
0,1.0,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0
0,1.0,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0
3,1.0,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0
3,0.0,Thanisandra,3 BHK,,1436,3.0,1.0,74.75
3,0.0,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0
2,1.0,Hennur Road,2 Bedroom,,276,3.0,3.0,23.0
3,1.0,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0
3,1.0,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0
3,0.0,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0
0,1.0,Shampura,4 BHK,,2650,4.0,2.0,150.0
3,0.0,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52
0,1.0,Kadugodi,2 BHK,,1050,2.0,1.0,34.0
0,1.0,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0
3,0.0,Vajarahalli,2 BHK,,945,2.0,1.0,54.0
3,1.0,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0
2,1.0,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,115.0
0,1.0,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0
2,1.0,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0
3,1.0,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5
2,1.0,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0
3,1.0,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0
0,1.0,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0
3,0.0,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0
3,0.0,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005
3,0.0,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4
3,0.0,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05
0,1.0,Hennur Road,8 Bedroom,,5000,8.0,,250.0
3,0.0,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0
3,1.0,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0
3,1.0,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0
3,0.0,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76
3,1.0,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0
3,1.0,Kothanur,3 BHK,Somumys,1828,3.0,,110.0
3,1.0,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0
3,1.0,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74
2,1.0,Dinnur,6 Bedroom,,1034,5.0,,185.0
3,0.0,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31
3,1.0,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0
3,0.0, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0
3,1.0,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0
3,1.0,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0
3,0.0,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6
3,1.0,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0
3,1.0,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0
3,1.0,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0
2,1.0,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0
0,1.0,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0
3,0.0,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0
3,1.0,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0
0,1.0,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0
3,1.0,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0
3,0.0,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49
3,1.0,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0
3,1.0,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5
0,1.0,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0
0,1.0,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0
3,1.0,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0
3,1.0,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0
3,0.0,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5
3,1.0,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0
3,1.0,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0
2,1.0,CHIKKATIRUPATHI,3 Bedroom,,1500,3.0,2.0,100.0
2,1.0,Kumaraswami Layout,5 Bedroom,,600,3.0,2.0,85.0
2,1.0,Nagavara,1 Bedroom,,400,1.0,0.0,14.0
3,1.0,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0
0,1.0,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0
3,1.0,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0
3,1.0,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0
3,1.0,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0
3,0.0,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0
3,1.0,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0
2,1.0,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0
3,1.0,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7
0,1.0,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0
3,1.0,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8
3,1.0,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0
0,0.0,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0
3,1.0,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0
2,1.0,Bellandur,4 Bedroom,,1200,5.0,,325.0
2,1.0,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0
3,1.0,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0
3,1.0,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0
3,1.0,Kothanur,2 BHK,,1186,2.0,2.0,58.0
0,1.0,MS Pallya,3 Bedroom,,1783,3.0,1.0,115.0
3,1.0,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0
3,1.0,Nagasandra,2 BHK,,980,2.0,1.0,48.0
3,1.0,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0
3,1.0,Langford Town,3 BHK,,912,2.0,1.0,70.0
0,1.0,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6
3,1.0,Whitefield,2 BHK,,1075,2.0,1.0,53.0
0,1.0,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0
3,1.0,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7
3,1.0,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0
3,1.0,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0
0,1.0,Nagondanahalli,2 BHK,,1207,2.0,2.0,43.5
2,1.0,Padmanabhanagar,4 Bedroom,,1736,6.0,0.0,190.0
3,0.0,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,428.0
3,1.0,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0
0,0.0,"Off Sarjapur Road, ",3 BHK,,1798,3.0,2.0,89.0
3,1.0,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29
3,1.0,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0
3,1.0,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0
0,1.0,Magadi Road,6 Bedroom,,3600,6.0,0.0,141.0
3,1.0,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0
3,1.0,Ngef Layout,3 BHK,,1415,3.0,3.0,78.0
3,0.0,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29
3,1.0,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0
3,1.0,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0
0,1.0,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4.0,1.0,75.5
3,0.0,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28
3,0.0,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82
3,1.0,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,260.0
0,1.0,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0
2,1.0,Shantiniketan Layout,2 Bedroom,,1500,2.0,1.0,115.0
3,1.0,Hebbal,3 BHK,,1900,3.0,2.0,119.0
3,0.0,Dommasandra,2 BHK,,805,2.0,1.0,22.14
3,1.0,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4
3,1.0,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0
3,1.0,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0
0,1.0,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0
3,1.0,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0
3,1.0,Dr Shivarama Karantha Nagar,3 BHK,,1500,2.0,1.0,65.0
3,0.0,Bank Of Baroda Colony,2 BHK,,1080,2.0,2.0,39.0
3,0.0,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0
0,1.0,Ramamurthy Nagar,5 Bedroom,,3500,5.0,2.0,150.0
0,1.0,Kullappa Colony,2 BHK,,1060,2.0,2.0,60.0
3,0.0,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
2,1.0,Mukkutam Nagar,8 Bedroom,,2600,8.0,2.0,180.0
3,0.0,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
3,1.0,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,84.0
3,1.0,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,72.5
2,1.0,Electronic City,3 Bedroom,,1200,3.0,1.0,90.0
3,1.0,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,40.0
3,1.0,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,70.0
2,0.0,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0
3,1.0,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0
3,1.0,Chandapura,2 BHK,KHityry,800,1.0,1.0,20.0
0,1.0,Anand Nagar,2 BHK,,1060,2.0,2.0,55.0
3,1.0,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,93.0
3,0.0,Shree Ananth Nagar Layout,2 BHK,,900,2.0,2.0,22.5
0,1.0,Kundalahalli Colony,2 Bedroom,,1280,2.0,1.0,69.0
2,1.0,Horamavu Agara,4 Bedroom,,1200,2.0,0.0,95.0
0,1.0,Sarjapur  Road,2 BHK,,1025,2.0,2.0,36.0
3,0.0,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0
2,1.0,MCECHS  layout,5 Bedroom,,1200,5.0,,170.0
3,1.0,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,170.0
2,1.0,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,300.0
3,1.0,Vijayanagar,3 BHK,JJortom,1500,3.0,2.0,75.5
3,1.0,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,43.9
3,1.0,Budigere,2 BHK,PrityTr,1162,2.0,1.0,59.9
3,1.0,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.2
0,1.0,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8
3,1.0,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,46.0
3,0.0,Hennur Road,3 BHK,DSapeSk,1866,2.0,2.0,61.58
3,1.0,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1.0,1.0,26.0
3,1.0,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,120.0
3,1.0,Sarjapur,2 BHK,,913,2.0,1.0,32.0
3,0.0,Talaghattapura,3 BHK,Sodgere,1868,3.0,2.0,131.0
0,1.0,Kengeri Satellite Town,2 BHK,,883,2.0,1.0,45.0
2,1.0,Sundara Nagar,2 Bedroom,,900,2.0,1.0,110.0
3,1.0,Kogilu,3 BHK,,1664,2.0,3.0,73.95
3,1.0,Hegde Nagar,3 BHK,SoitaCa,2026,3.0,2.0,132.0
3,1.0,Balagere,2 BHK,Soestin,1210,2.0,1.0,80.9
2,1.0,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0
3,1.0,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,91.45
3,1.0,Jigani,3 BHK,DLhtsen,1252,3.0,3.0,55.0
0,1.0,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,34.5
0,1.0,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,100.0
2,1.0,Srirampura,6 Bedroom,,1450,6.0,0.0,250.0
0,1.0,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,78.8
3,1.0,Bisuvanahalli,3 BHK,,1075,2.0,1.0,46.0
3,0.0,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,94.0
0,1.0,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,40.0
3,1.0,Kaggadasapura,3 BHK,,1280,2.0,2.0,56.0
3,1.0,Silver Springs Layout,2 BHK,Bhinglv,1084,2.0,2.0,50.0
3,0.0,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,25.88
3,0.0,Kanakpura Road,2 BHK,GolusLi,1017,2.0,1.0,51.25
3,1.0,Haralur Road,2 BHK,,1027,2.0,2.0,44.0
3,1.0,Electronic City Phase II,2 BHK,Coush W,1069,2.0,2.0,45.0
3,1.0,Hebbal,2 BHK,Prersis,1349,2.0,1.0,98.2
3,1.0,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,50.0
3,1.0,Jakkur,2 BHK,Arzzo P,1417,2.0,3.0,75.0
2,0.0,TC Palaya,3 Bedroom,,1475,3.0,1.0,98.0
1,1.0,Maruthi Sevanagar,2 BHK,SMikaay,950,2.0,2.0,47.0
3,1.0,RMV 2nd Stage,4 BHK,Prave E,2000,4.0,0.0,120.0
2,1.0,Giri Nagar,3 Bedroom,,880,3.0,1.0,140.0
3,1.0,Sarjapur  Road,4 BHK,Ahriaup,1863,3.0,2.0,104.0
3,1.0,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,29.5
3,1.0,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,70.0
3,1.0,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,100.0
3,1.0,Kothanur,3 BHK,Somumys,1847,3.0,2.0,105.0
3,1.0,AECS Layout,2 BHK,Soran U,1100,2.0,3.0,45.0
3,0.0,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0
3,1.0,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,95.0
3,1.0,Begur,4 BHK,Prntsrt,1664,4.0,3.0,65.0
3,1.0,JP Nagar,3 BHK,Maerar ,1850,3.0,3.0,150.0
3,1.0,Panathur,2 BHK,Vaesh T,1438,2.0,3.0,100.0
3,1.0,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3.0,3.0,115.0
3,0.0,Yelahanka,2 BHK,,1350,2.0,1.0,55.55
3,1.0,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,67.0
3,0.0,Malleshpalya,2 BHK,,1140,2.0,2.0,46.5
2,1.0,Srirampura,5 Bedroom,,1200,5.0,2.0,180.0
3,0.0,Kodathi,2 BHK,,850,2.0,2.0,27.0
3,1.0,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,75.0
0,1.0,Munnekollal,2 BHK,,1170,2.0,2.0,52.0
3,1.0,Motappa Layout,2 BHK,Puodse ,1113,2.0,1.0,51.0
3,1.0,Hennur Road,2 BHK,Mileeou,1385,2.0,1.0,83.09
3,0.0,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0
2,1.0,Marathahalli,2 Bedroom,,1200,2.0,2.0,128.0
2,1.0,Akshaya Vana,4 Bedroom,,1200,4.0,3.0,165.0
3,1.0,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,415.0
2,1.0,Giri Nagar,4 Bedroom,,2400,4.0,1.0,400.0
3,1.0,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0
3,1.0,Manayata Tech Park,2 BHK,,1200,2.0,2.0,55.0
3,1.0,Kaval Byrasandra,2 BHK,Abncy R,1200,2.0,2.0,52.0
3,1.0,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,55.0
0,1.0,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,95.0
3,0.0,Sarjapur  Road,2 BHK,,1000,2.0,1.0,67.0
2,1.0,Haralur Road,4 Bedroom,,2650,4.0,2.0,198.0
3,1.0,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,74.0
3,1.0,Ulsoor,3 BHK,K borja,2135,3.0,2.0,215.0
3,0.0,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0
0,1.0,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,45.0
3,1.0,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,230.0
3,1.0,Somasundara Palya,3 BHK,,1600,3.0,3.0,64.0
2,0.0,T.C PALYA,2 Bedroom,,1200,2.0,0.0,79.0
1,1.0,Muneshwara Nagar,2 BHK,,1230,2.0,3.0,48.0
3,1.0, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,40.0
3,1.0,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,76.0
0,1.0,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0
3,0.0,Kanakpura Road,1 BHK,PrarePa,525,,,21.53
3,1.0,Basaveshwara Nagar,2 BHK,,1200,2.0,2.0,65.0
2,1.0,Bull Temple Road,3 Bedroom,,1350,2.0,0.0,140.0
3,0.0,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,49.36
3,1.0,Prashanth Nagar,3 BHK,Vancy R,1800,3.0,0.0,150.0
